,SMILES,fingerprint,RF_Pred,SVM_Pred,ANN_Pred
20,O=C(C(C)C)Nc1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)C,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1
 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0
 0 1 0 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 0]",0.0,0.0,0.0
21,Oc1ccc2c(c1)oc1c2nc2c(c1c1cc3cccc4c3n(c1=O)CCC4)c(=O)[nH]n2C1CCCCCC1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0
 0 1 0 1 0 1 1 0 0 1 0 1 0 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 1 0 0 0 0 1
 1 0 1 0 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0]",0.0,0.0,1.0
22,COc1cccc(c1)C(=O)Nc1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)C,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1
 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 1 0 1 0 0
 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0]",0.0,0.0,0.0
23,CCCC(=O)Nc1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)C,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1
 1 0 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 0 0 1 0 1
 0 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 0]",0.0,0.0,0.0
24,COc1cccc(c1)C1C2=C(N=c3n1c(=O)/c(=C\c1cc(Br)ccc1O)/s3)c1c(CC2)cccc1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 0 0 1 1 1 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0 1
 0 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 1 1 1 1 1
 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0]",0.0,0.0,0.0
25,CCC(=O)Nc1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)C,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1
 1 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0
 0 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 0]",0.0,0.0,0.0
26,COc1cccc(c1)C1C2=C(N=c3n1c(=O)/c(=C/c1cc(Br)ccc1O)/s3)c1c(CC2)cccc1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 0 0 1 1 1 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0 1
 0 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 1 1 1 1 1
 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0]",0.0,0.0,0.0
27,COc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)Nc1nc(C)cc(n1)Nc1ccc(cc1)C,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0
 0 1 1 0 0 0 1 0 0 1 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 0 1 1 1 0 1 1 0
 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 0]",0.0,0.0,0.0
28,C#CCOc1ccc2c(c1/C=c/1\sc3=NC4=C(C(n3c1=O)c1ccccc1OC)CCc1c4cccc1)cccc2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0 0 1 1
 0 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 1 1
 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",0.0,0.0,0.0
29,Cc1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)NS(=O)(=O)c1ccc(cc1)C,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0
 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 1 0 0 1 0 0
 1 1 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0]",0.0,0.0,0.0
