Unnamed: 0,smiles,CIDs,ROMol,affinity
64,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O.Cl,197758,<rdkit.Chem.rdchem.Mol object at 0x1b74f9540>,NaN
65,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)OC)O,197017,<rdkit.Chem.rdchem.Mol object at 0x1b74f95b0>,-4.97522593
66,CC1CC2=C(C(N1)C)C(=C(C=C2)C3=C4C=CC=C(C4=C(C=C3CO)OC)O)O,185971,<rdkit.Chem.rdchem.Mol object at 0x1b74f9620>,-5.89225292
67,CC1CC2=C(C(N1)C)C(=C(C=C2)C3=C(C4=C(C=C3)C=C(C=C4OC)C)O)O,178558,<rdkit.Chem.rdchem.Mol object at 0x1b74f9690>,-6.00684404
68,CCCN1CCC2=C3C1CC4=C(C3=CC(=C2)O)C(=C(C=C4)O)O.Br,173603,<rdkit.Chem.rdchem.Mol object at 0x1b74f9700>,NaN
69,CCCN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,167715,<rdkit.Chem.rdchem.Mol object at 0x1b74f9770>,-5.50954866
70,COC1=C(C=C2CCNC3C2=C1C4=CC=CC=C4C3)O,160875,<rdkit.Chem.rdchem.Mol object at 0x1b74fa7a0>,-5.38258314
71,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)O)OC)O)OC,133322,<rdkit.Chem.rdchem.Mol object at 0x1b74fa810>,-5.48426437
72,C1CC2=CC(=C(C=C2C3C1NCC4=CC=CC=C34)O)O,60759,<rdkit.Chem.rdchem.Mol object at 0x1b74fa880>,-5.49113464
73,COC1=C(C2=C3C(CC4=CC=CC=C42)NCCC3=C1)OC,41169,<rdkit.Chem.rdchem.Mol object at 0x1b74fa8f0>,-4.76264381
74,COC1=C(C2=C3C(CC4=CC=CC=C42)NCCC3=C1)O,23335,<rdkit.Chem.rdchem.Mol object at 0x1b74fa960>,-5.32246399
75,CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O.Br,14706,<rdkit.Chem.rdchem.Mol object at 0x1b74fa9d0>,NaN
76,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)OC)O,12545,<rdkit.Chem.rdchem.Mol object at 0x1b74faa40>,-5.19834185
77,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,9669,<rdkit.Chem.rdchem.Mol object at 0x1b74faab0>,-5.08463764
78,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,3918,<rdkit.Chem.rdchem.Mol object at 0x1b74fab20>,-4.823915
79,C=CCN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,3912,<rdkit.Chem.rdchem.Mol object at 0x1b74fab90>,-4.97638798
80,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,2215,<rdkit.Chem.rdchem.Mol object at 0x1b74fac00>,-5.49129725
81,COC1=CC2=C(CC3C4C2(CCCC4)CCN3)C=C1,1671,<rdkit.Chem.rdchem.Mol object at 0x1b74fac70>,-4.324368
82,COC1=C(C2=C(CC3C4=C2C(=C(C=C4CCN3)OC)OC)C=C1)O,131751215,<rdkit.Chem.rdchem.Mol object at 0x1b74face0>,-5.21081543
83,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,71717297,<rdkit.Chem.rdchem.Mol object at 0x1b74fad50>,-4.90573788
84,CN1CCC2=C3C1CC4=CC=CC=C4C3=CC(=C2)OC,71716168,<rdkit.Chem.rdchem.Mol object at 0x1b74fa730>,-4.68705606
85,CC1CC2=C(C(N1)C)C(=C(C=C2)C3=C4C=CC=C(C4=C(C=C3C)OC)O)OC,59095071,<rdkit.Chem.rdchem.Mol object at 0x1b74fa6c0>,-5.39981365
86,CC1C2CC3=C(C1(CCN2C)C)C=C(C=C3)O,45479834,<rdkit.Chem.rdchem.Mol object at 0x1b74fa3b0>,-4.36449766
87,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,45038915,<rdkit.Chem.rdchem.Mol object at 0x1b74fa0a0>,-4.48686647
88,CC1=CC2=C3C(CC4=C(C3=C1)C(=C(C=C4)O)O)N(CC2)C,44567292,<rdkit.Chem.rdchem.Mol object at 0x1b74f9f50>,-5.5170536
89,CCCN1CCC2=C3C1CC4=C(C3=CC(=C2)OC)C(=CC=C4)O,24800688,<rdkit.Chem.rdchem.Mol object at 0x1b74f9850>,-5.44493628
90,CN1CCC2=C3C1CC4=C(C3=CC(=C2)OC)C(=CC=C4)O,24766199,<rdkit.Chem.rdchem.Mol object at 0x1b74fae30>,-4.94505072
91,CCCN1CC(CC2C1CC3=C(C2)C(=CC=C3)O)NS(=O)(=O)N(CC)CC,22942549,<rdkit.Chem.rdchem.Mol object at 0x1b74fadc0>,-4.6832881
92,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)OC)OC,21852778,<rdkit.Chem.rdchem.Mol object at 0x1b74faea0>,-5.03234577
93,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)O,21779964,<rdkit.Chem.rdchem.Mol object at 0x1b74faf10>,-4.71519423
94,CC1C2CC3=C(C1(CCN2CC=C)C)C=C(C=C3)O.Cl,13286169,<rdkit.Chem.rdchem.Mol object at 0x1b74faf80>,NaN
95,CC1C2CC3=C(C1(CCN2CC=C)C)C=C(C=C3)O.Cl,13286168,<rdkit.Chem.rdchem.Mol object at 0x1b74faff0>,NaN
96,CC1C2CC3=C(C1(CCN2)C)C=C(C=C3)O,12371111,<rdkit.Chem.rdchem.Mol object at 0x1b74fb060>,-4.60311174
97,CC1C2CC3=C(C1(CCN2)C)C=C(C=C3)O,12371110,<rdkit.Chem.rdchem.Mol object at 0x1b74fb0d0>,-4.64935493
98,COC1=C(C=C2CCNC3C2=C1C4=CC=CC=C4C3)O,12308663,<rdkit.Chem.rdchem.Mol object at 0x1b74fb140>,-5.37624979
99,CCCN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl,11957529,<rdkit.Chem.rdchem.Mol object at 0x1b74fb1b0>,NaN
